tragedii,tragedy
trwała,lasted
turze,turn
tygodni,weeks
tłumaczył,he explained
uderzył,he hit
urodziny,birthday
urządzenia,devices
Ustalenia,Arrangements
Warunkach,Conditions
was,mustache
ważny,important
ważnych,important
wersji,version
wiadomości,the news
widzów,viewers
winy,guilt
wniosku,application
woda,water
wojnie,in the war
wprost,directly
wrażenie,impression
wrześniu,September
wskazał,he pointed out
wyborczych,electoral
wybuchu,explosion
wydawało,it seemed
wyjątkowo,exceptionally
wyrok,judgment
wyroku,judgment
wysokie,high
wystarczy,enough
występ,performance
wywiadu,intelligence
wyższe,higher
władzy,power
własnego,own
zabójstwa,murders
zaczął,he started
zakończył,he finished
zapewnić,to ensure
zbiórki,collections
ziemi,earth
znalazł,he found
zrobił,he did
związek,relationship
zwrócić,return
złożył,he submitted
Smierć,Death
św.,saint
świetnie,Great
1,1
2,2
2019,2019
29,29
AI,AI
Adam,Adam
Aleksandra,Alexandra
Armii,Army
Aż,Until
Bank,Bank
Bartosz,Bartosz
Białymstoku,Białystok
Brytanii,Britain
Dróg,Roads
Dzisiaj,Today
Euro,Euro
Europejskiego,European
Fundusz,Fund
Gorzowie,Gorzow
Hołowni,Hołownia
Iwona,Iwona
Jaki,What
Janusz,Janusz
Jarosław Kaczyński,Jaroslaw Kaczynski
Jednym,One
Joe,Joe
Julia,Julia
KO,KO
Kilka,Several
Korei,Korea
Lublina,Lublin
Ludzie,People
Marek,Mark
Mariusza,Mariusz
Monika,Monica
Najpierw,Firstly
PKO,PKO
PKW,PKW
Parku,The Park
Pierwsze,First
Polskie,Polish
Polską,Poland
Poza,Apart from
Projekt,Design
Roberta,Robert
Rok,Year
Rosję,Russia
Sam,Alone
Stanach,In the States
Sytuacja,Situation
Szkoła,School
Tragedia,Tragedy
Trzecia Droga,The Third Way
Tych,Those
Tylko,Just
Wielkopolsce,Greater Poland
Wrocław,Wroclaw
Wrocławia,Wroclaw
Wystarczy,Enough
Zamiast,Instead
Zanim,Before
Zarząd,Management
Zbigniew,Zbigniew
Zieliński,Zielinski
akcję,action
apeluje,I appeal
areszcie,in custody
armii,army
artykułu,article
ataki,attacks
auta,cars
bieg,run
bloku,block
budzi,wakes up
budżetu,budget
błąd,mistake
Całe,The whole
cel,objective
cen,price
cena,price
cenę,price
chciała,she wanted
ciekawych,interesting
cieszy,I am glad
częściej,more often
człowiek,man
da,yes
daleko,far
dawno,long time ago
dobrej,good
dobrym,good
dodatkowych,additional
dodać,to add
dostępne,accessible
dotychczas,yet
drużyn,teams
dyrektora,director
dziedzinie,field
dzielnicy,district
długi,long
edycja,edition
ekspertów,experts
festiwalu,festival
filmów,movies
formę,form
góry,mountains
igrzysk,games
Imię,Name
inflacji,Inflation
informacja,information
jednostki,units
jesteś,You are
kandydat,candidate
kawy,coffee
kilkadziesiąt,several dozen
komendy,commands
konieczne,necessary
konsekwencje,consequences
konsultacji,consultation
koło,wheel
końcem,the end
kroku,step
ks.,Fr.
l.,l.
leczenia,treatment
lekarze,doctors
listopadzie,November
ludźmi,people
mandat,mandate
materiał,material
miastach,cities
mieszka,lives
Miliona,A million
minuty,minutes
misji,mission
mistrzostw,championships
miłości,love
mocy,power
model,model
musieli,they had to
młodzi,young
nadzorem,supervision
najlepszej,the best
najmłodszych,the youngest
niedawno,recently
Niezwykle,Extremely
nową,new
numer,number
obecnej,present
obecny,current
obie,both
Obiekt,Object
obrażenia,injuries
odpowiadają,They answer
ofiary,victims
oficer,officer
ograniczenia,limitations
okazję,an opportunity
okolicy,the area
ono,it
opadów,precipitation
opowieści,stories
opublikował,he published
organizacje,organizations
organizacji,organization
osobowych,personal
owoce,fruit
oświadczenie,statement
para,couple
pasażerowie,passengers
pewnie,Sure
pierwsza,first
planów,plans
pochodzenia,origin
pocisków,bullets
poczucie,sense
podium,podium
podróż,trip
podróży,travel
podstawowe,Basic
pokazuje,shows
pokonał,He defeated
polityk,politician
polscy,Polish
porównaniu,in comparison
potrafi,he can
potrzebne,necessary
potrzebuje,I need
poważna,serious
poważne,serious
powrotu,return
poznać,to get to know
pozostaje,it remains
połowa,half
połowy,field
prokuratora,prosecutor
promila,per mille
propozycji,proposals
przegrał,he lost
przerwy,breaks
przygotowania,preparations
próbował,he tried
próby,attempts
ratownictwa,rescue
relacjonuje,I am reporting
robią,they do
roboty,Robots
rolnictwa,agriculture
rolników,farmers
rosyjskiej,Russian
rozpoczęciem,starting
roślin,plants
ryzyka,Risks
rzadko,rarely
rzeczniczka,spokeswoman
różnice,differences
rąk,cancer
scenie,on stage
siedmiu,seven
silne,strong
skutki,consequences
spacer,walk
sprawach,matters
stanowią,they constitute
stanowić,constitute
stanął,he stood
stoi,he is standing
strażacy,firefighters
studentów,students
sumie,total
szans,chances
sześciu,six
szybciej,faster
sędzia,judge
temperatura,temperature
trasy,Routes
trudne,difficult
trudnych,difficult
trzecie,third
trzeciej,third
twarz,face
twórcy,creators
tytuł,title
ubiegłego,last year
udziałem,participation
umowę,contract
umów,contracts
uniknąć,avoid
ustawa,act
usłyszał,he heard
walce,fights
wejść,enter
wiatr,wind
widzi,he sees
wieczór,evening
wiedzą,knowledge
wielkie,big
woli,will
wpływa,it affects
wrócić,come back
wręcz,hand over
wyborców,voters
wyjeździe,leaving
wykorzystać,to use
wynagrodzenie,remuneration
wyniesie,it will amount to
wyników,results
wyniosła,haughty
wypowiedzi,statements
wypłaty,withdrawals
wywiadzie,interview
zabawy,fun
zablokowana,blocked
zaczęli,They started
zagra,will play
zainteresowanie,interest
zakupu,purchase
zależności,dependence
Zapewnia,It provides
zarządu,board of directors
zawartość,contents
zawodnicy,players
zawodów,professions
zdobyła,she got it
zmarł,he died
zmianie,change
zmieni,will change
znajdzie,will find
znalazło,found
znaleziono,found
znane,known
zostaje,it stays
zwycięstwa,victories
Ładu,Order
łączy,connects
śledztwa,investigations
środka,middle
środku,in the middle
świadków,witnesses
żaden,no
żyją,they live
1 stycznia,January 1st
"1,5",1.5
1500,1500
2017,2017
2026,2026
250,250
2:1,2:1
38,38
45,45
Agencji,Agency
B.,B
BBC,BBC
Badanie,Test
Bez,Without
Boże,God
Była,Was
Czarnek,Black
Czyli,That is
Dodajmy,Let's add
Eksperci,Experts
Gdańsk,Gdansk
Gdyby,If
Google,Google
Grozi,He is threatening
Grupa,Group
jacka,Jack
Jaka,What
Jakub,Jacob
Japonii,Japan
Jedna,One
Jedynie,Only
K.,K
Kolejne,Next
Koszalinie,Koszalin
Lech,Lech
Legia,Legion
Lotto,Lotto
Magdalena,Magdalena
Maja,Have
Marcina,Marcin
Marszałek,Marshal
Marta,Martha
Meteorologii,Meteorology
Miejskiej,City
Mogą,They can
Najwyższego,The Most High
Natalia,Natalie
Niech,Let
Nowym,New
Ogólnokształcącego,General secondary school
Okazuje,It turns out
Opola,Opole
Orlen,Orlen
Osoby,People
Oznacza,It means
Pani,You
Partii,The party
Pałac,Palace
Początkowo,Initially
Podkarpaciu,Subcarpathia
Polki,Polish women
Powiatowej,District
Rolnicy,Farmers
Rzecznik,Spokesman
Społecznej,Social
Stowarzyszenie,Association
Strefie,In the zone
Szefowa,The boss
Służby,Services
TVN,TVN
Telewizji,Television
Transportu,Transport
Trzaskowski,Trzaskowski
Ubezpieczeń,Insurance
Ukraińcy,Ukrainians
Unia,Union
Urząd,Office
Was,Mustache
Ważne,Important
Widać,Can be seen
Wielu,Many
Wybory,Elections
Władze,Authorities
Zakład,Bet
Zapowiedział,He announced
Zbrojnych,Armed
Zespołu,Team
Zespół,Team
Zielona,Green
Zielona Góra,Zielona Góra
Związku,Union
absolutnie,absolutely
administracji,Administration
artystów,artists
ataków,attacks
badanych,those examined
bliżej,closer
boisko,field
brał,he took
bronić,defend
brytyjskiego,British
burze,storms
bywa,it happens
całkiem,quite
cele,goals
celów,goals
choroba,disease
chorób,diseases
chronić,protect
chłopak,boy
ciekawe,Interesting
ciepła,warm
czele,at the head
czerwcu,June
czuje,I feel
członkowie,members
daty,Dates
dobra,All right
dobrą,All right
dodatek,addition
dofinansowania,subsidies
doniesienia,reports
donosi,he reports
doprowadzić,to bring
drogowe,road
dronów,drones
druga,second
drugą,the second
drzwi,door
dróg,roads
dużej,big
dużych,big
działać,work
dzienny,daily
dziewczynki,girls
edukacji,education
efekt,effect
efekty,effects
ekipy,Teams
ekspert,expert
elementy,elements
emocje,emotions
firmie,the company
gier,games
godzinę,an hour
gorzej,worse
gospodarczą,economic
goście,guests
graczy,players
głową,head
historie,stories
horoskop,horoscope
ilości,Quantity
infrastruktury,infrastructure
inna,other
innego,another
interwencji,Intervention
jakich,what kind
jakieś,any
jakim,what kind
jazdę,driving
jeździć,drive
kandydata,candidate
karierę,career
kierunkach,directions
kilkunastu,a dozen or so
kim,who
klasyfikacji,classification
klimatu,climate
klubów,clubs
komentarz,comment
komentarze,comments
komunikacji,communication
konsumentów,consumers
konto,account
kończy,he's finishing
kościoła,church
kradzież,theft
kredytu,credit
kuchni,kitchen
kwartału,quarter
kwiaty,flowers
kwota,sum
latem,in the summer
lekarza,doctor
lekarzy,doctors
lesie,in the forest
liczby,numbers
licznych,numerous
lidze,league
lokalu,premises
lubelskim,Lublin
m,m
mając,having
mama,mother
marszałka,Marshal
medale,medals
mieszkaniu,in the apartment
miliarda,billion
miliony,millions
miłośników,lovers
mnóstwo,plenty
mocne,strong
mówić,to talk
młodego,young
nagraniu,recording
najbliższe,the closest
najlepszy,best
najlepszych,the best
nauczycieli,teachers
niecałe,less than
nieprawidłowości,irregularities
niewiele,few
np,e.g.
oba,both
obiektu,object
obszarze,area
obwodu,circuit
odległości,distances
ofert,offers
ofertę,offer
oficjalnych,official
ojca,father
okno,window
okolicach,in the vicinity
online,on-line
opieki,care
oprócz,apart from
opuścił,he left
organizuje,I am organizing
osiedla,housing estates
osobę,person
ostatnio,lately
parkingu,parking lot
parku,park
perspektywy,perspectives
pewnością,for sure
piękna,Beautiful
piłka,ball
plany,plans
pobytu,stay
podkreślają,they emphasize
podkreślono,underlined
podobny,similar
podstawowych,basic
poinformowali,They informed
pojawiła,appeared
pojawiło,appeared
pojazdy,vehicles
pokazał,he showed
pokój,room
polityka,policy
poprzedniej,previous
porozumienia,Agreements
posiadania,possession
postanowił,he decided
postawić,put
poszukiwania,Search
posłów,Deputies
potrzebują,they need
potrzeby,needs
poważnie,seriously
powoli,slowly
powstał,was created
poziomu,level
pracuje,He's working
prawem,by law
procesu,process
producenta,manufacturer
przedmiotem,subject
przekazać,to pass
przeszła,She passed
przyczyną,cause
przysługuje,is entitled to
prędkość,speed
publicznie,publicly
punktem,point
punktu,point
radnych,councilors
reprezentacji,representation
reżysera,director
rocznie,annually
rośliny,plants
rzek,rivers
samochody,cars
sejmowej,of the Sejm
serwis,service
serwisie,service
show,show
skierowany,directed
sklepu,shop
skomentował,he commented
skutecznie,efficiently
składania,folding
spotkał,he met
społecznej,social
sprawcy,perpetrators
sprawdzić,to check
sprawą,thing
sprzedaż,sale
stadionie,at the stadium
staje,it stands
stanąć,stand
stara,old
starszych,older
stała,constant
strażaków,firefighters
studenci,students
stworzyć,create
stylu,style
sukcesu,success
sukcesów,successes
swego,his own
sytuacjach,situations
sytuacją,situation
szybkie,fast
sądem,court
telefon,phone
teren,area
terytorium,territory
trudna,difficult
trudności,Difficulties
trwają,they are ongoing
trzeciego,the third
tygodnie,weeks
tysiące,thousands
udziału,share
ulgi,relief
ustalili,They determined
utraty,loss
użytkowników,users
wczoraj,Yesterday
wezwał,he called
wiadomość,message
wiatru,wind
wiceminister,Deputy Minister
widzimy,we see
wniosków,conclusions
wojska,army
wolne,free
wolnego,free
wolność,freedom
wpływem,Influence
wschodzie,east
wskaźnik,indicator
wspomina,he remembers
współpracę,cooperation
wybudowany,built
wycieczki,trips
wydarzyło,It happened
wyglądają,they look
wyjaśnił,he explained
wyjątkowe,unique
wyjść,get out
wyniósł,he was
wysokim,high
wyspy,islands
wyścigu,race
własnym,my own
właściwości,properties
włosów,hair
zabrał,he took
zaczęła,she started
zadanie,task
zająć,hare
zakazu,ban
zakończyć,end
zakończyła,she finished
zakresu,range
zakłada,assumes
zamierza,he intends
zanim,before
zaplanowano,planned
zarzutów,allegations
zatrudnienia,employment
zauważyć,to notice
zawodowych,professional
zbrodni,crime
zdania,sentences
zderzenia,collision
zdjęć,photos
zdrowie,health
zespoły,teams
zginął,he died
zmienia,it changes
znaczący,significant
znajdziecie,you will find
znajdziesz,you will find
znakiem,a sign
znaku,sign
znalezienia,finding
zodiaku,zodiac
zwiększenie,increase
zwrot,return
zwróciła,she returned
zwykle,usually
Łukasza,Luke
śląskim,Silesian
świadczeń,benefits
świadomość,awareness
żywności,food
żyć,lives
".""","."""
0,0
15,15
2000,2000
2002,2002
2050,2050
33,33
34,34
47,47
55,55
Akcja,Share
Artur,Arthur
Australii,Australia
Biura,Offices
CNN,CNN
COVID-19,COVID-19
Cały,Whole
Chin,Chin
Chociaż,Though
Coraz,More and more
Czas,Time
Dobrze,All right
Dodaje,He adds
Donald Trump,Donald Trump
Drugi,Second
Działania,Activities
Ekstraklasy,Ekstraklasa
Estonii,Estonia
Euro 2024,Euro 2024
Europejska,European
Ewy,Eve
Faktu,Fact
Festiwal,Festival
Festiwalu,Festival
Fundacja,Foundation
Fundacji,Foundation
Gdyni,Gdynia
Góry,Mountains
Główny,Main
Internauci,Internet users
Jerzego,George
Kacper,Casper
Kancelarii,The Chancellery
Klaudia,Claudia
Koalicja,Coalition
Kolejna,Another one
Konfederacji,Confederation
Kosiniak-Kamysz,Kosiniak-Kamysz
Krajowego,National
LO,LO
League,League
Lecha,Lech
Lewandowski,Lewandowski
Liczba,Number
Litwy,Lithuania
Lublin,Lublin
Macieja,Maciej
Magda,Magda
Małopolsce,Lesser Poland
Miejsce,Place
Miejskiego,Municipal
Ministerstwa,Ministries
Ministrów,Ministers
NBP,NBP
Najbardziej,The most
Narodowej,National
Nasza,Our
New,New
Nowak,Nowak
Nysie,Nysa
Organizatorzy,Organizers
Parlamentu,Parliament
Państwowej,State
Podobnie,Similarly
Polsat,Polsat
Pomocy,Help
Poniżej,Below
Postępowanie,Procedure
Powiedział,He said
Poznania,Poznan
Prawo,Law
Przedstawiciele,Representatives
Północnej,Northern
Reutera,Reuter
Rh,Rh
Roku,Year
Rzeczypospolitej,The Republic
Rzeszowie,Rzeszow
Sojuszu,Alliance
Społecznych,Social
Sprawa,Thing
Stanisław,Stanislaw
Stanu,State
System,System
Szczególnie,Especially
Taki,Such
Termin,Deadline
Torunia,Toruń
Trzy,Three
Tu,Here
Turcji,Turkey
Tyle,So much
WOŚP,WOŚP
Warszawskiego,Warsaw
Wartość,Value
Wiemy,We know
Wkrótce,Soon
Wniosek,Application
Wojskowego,Military
Woli,Will
Wołodymyr,Volodymyr
Wołodymyr Zełenski,Volodymyr Zelensky
Zdjęcia,Photos
Zielonego,Green
Ziemi,Earth
Zmiany,Changes
aktor,actor
aktywnie,actively
amerykańskiej,American
asp.,asp.
atrakcji,attractions
auto,car
bank,bank
biorą,they take
biznesu,business
blok,block
brakowało,was missing
bramkarza,goalkeeper
brata,brother
budowania,building
budować,build
budowlanych,construction
byłaby,would be
błędów,mistakes
chcemy,we want
chcieli,They wanted
chociażby,even if
chorych,sick
cię,you
cm,cm
codziennie,every day
czasami,Sometimes
czwarty,fourth
czynienia,doing
dalsze,further
dalszych,further
dawniej,formerly
dobrych,good ones
dodano,added
dojść,to get there
dorosłych,adults
dostał,he got
dostała,she got
dotarła,she arrived
dotrzeć,reach
dotyczyć,concern
dotyczą,they concern
dołączyć,join
dr,Dr.
dramat,drama
droga,way
drzewa,trees
dużym,big
dwaj,two
dzieckiem,a child
dziedzictwa,heritage
dziennikarzy,journalists
dziesięć,ten
dziewięć,nine
efekcie,as a result
elektronicznej,electronic
elektrycznych,Electric
element,element
finansowe,Financial
finansowego,financial
gotowy,ready
granicę,border
grupę,group
głosu,voice
głównym,main
handlowych,commercial
historię,history
inaczej,otherwise
incydentu,incident
informują,they inform
inwestorów,investors
inwestycja,investment
jaka,what
jakość,quality
jednostek,units
jedyne,the only ones
kandydatem,candidate
kariery,careers
karierze,career
karne,Penal
kibiców,fans
kieszeni,pocket
kilogramów,kilograms
kino,cinema
klasy,Classes
kobietę,a woman
kogo,whom
kogoś,someone
koledzy,friends
kolejnego,next one
komisją,committee
kompetencji,competence
koncert,concert
konieczność,necessity
konkursu,competition
konsekwencji,consequences
konstrukcji,construction
korzystają,they use
kredytów,credits
kroków,steps
krótki,short
ksiądz,priest
kwartale,quarter
kwestia,issue
kwestie,issues
kwestią,issue
kwiatów,flowers
lato,summer
lekarz,doctor
lokalnego,local
lotnisku,at the airport
lubi,likes
mające,having
mandatów,fines
marek,Brands
marszałek,marshal
małych,small
małżeństwo,marriage
meczach,matches
medycznego,medical
miejscem,a place
miejskiej,urban
mieliśmy,we had
miliardów,billion
ministerstwa,Ministries
mistrz,master
mistrzostwo,championship
międzynarodowego,international
mleka,milk
mogliby,they could
mogę,I can
mowa,speech
mówiąc,speaking
młodzież,youth
nagranie,recording
nasi,ours
nastolatków,Teenagers
naturalne,natural
niczym,like
niebezpieczne,dangerous
niebo,sky
niech,let
normy,standards
obawy,worries
obecna,current
obiektów,objects
obowiązkowe,mandatory
obowiązku,duty
obowiązują,are in force
